Board,Microcontroller,Operating Voltage,Input Voltage (recommended),Input Voltage (limit),Digital I/O Pins,PWM Pins,Analog Input Pins,Analog Output Pins,Flash Memory,SRAM,EEPROM,Clock Speed,UART,I2C,SPI,USB,Length,Width,Weight
ESP-01,ESP8266,3.3V,3.3V,3.6V,16,0,1,0,512KB,64KB,None,80 MHz,1,1,1,None,24mm,14mm,3g
ESP-02,ESP8266,3.3V,3.3V,3.6V,16,0,1,0,1MB,64KB,None,80 MHz,1,1,1,None,24mm,14mm,3g
ESP-03,ESP8266,3.3V,3.3V,3.6V,16,0,1,0,512KB,64KB,None,80 MHz,1,1,1,None,24mm,14mm,3g
ESP-04,ESP8266,3.3V,3.3V,3.6V,16,0,1,0,512KB,64KB,None,80 MHz,1,1,1,None,24mm,14mm,3g
ESP-05,ESP8266,3.3V,3.3V,3.6V,16,0,1,0,512KB,64KB,None,80 MHz,1,1,1,None,24mm,14mm,3g
ESP-06,ESP8266,3.3V,3.3V,3.6V,16,0,1,0,512KB,64KB,None,80 MHz,1,1,1,None,24mm,14mm,3g
ESP-07,ESP8266,3.3V,3.3V,3.6V,16,0,1,0,1MB,64KB,None,80 MHz,1,1,1,None,24mm,14mm,3g
ESP-07S,ESP8266,3.3V,3.3V,3.6V,16,0,1,0,1MB,64KB,None,80 MHz,1,1,1,None,24mm,14mm,3g
ESP-08,ESP8266,3.3V,3.3V,3.6V,16,0,1,0,1MB,64KB,None,80 MHz,1,1,1,None,24mm,14mm,3g
ESP-09,ESP8266,3.3V,3.3V,3.6V,16,0,1,0,1MB,64KB,None,80 MHz,1,1,1,None,24mm,14mm,3g
ESP-10,ESP8266,3.3V,3.3V,3.6V,16,0,1,0,1MB,64KB,None,80 MHz,1,1,1,None,24mm,14mm,3g
ESP-11,ESP8266,3.3V,3.3V,3.6V,16,0,1,0,1MB,64KB,None,80 MHz,1,1,1,None,24mm,14mm,3g
ESP-12,ESP8266,3.3V,3.3V,3.6V,16,0,1,0,4MB,160KB,None,80 MHz,1,1,1,None,25mm,15mm,3g
ESP-12E,ESP8266,3.3V,3.3V,3.6V,16,0,1,0,4MB,160KB,None,80 MHz,1,1,1,None,25mm,15mm,3g
