Board,Microcontroller,Operating Voltage,Input Voltage (recommended),Input Voltage (limit),Digital I/O Pins,PWM Pins,Analog Input Pins,Analog Output Pins,Flash Memory,SRAM,EEPROM,Clock Speed,UART,I2C,SPI,USB,Length,Width,Weight
Nucleo-32,STM32F030,3.3V,5V,7V,32,10,8,1,32KB,4KB,None,48 MHz,2,2,1,1x USB-C,68mm,25mm,25g
Nucleo-64,STM32F103,3.3V,5V,7V,64,12,10,2,64KB,20KB,None,72 MHz,3,2,2,1x USB-C,68mm,53mm,30g
Nucleo-144,STM32F746,3.3V,5V,7V,144,24,16,2,512KB,256KB,None,216 MHz,6,3,4,1x USB-C,102mm,53mm,50g
STM32F0 Discovery,STM32F051,3.3V,5V,7V,32,6,10,1,64KB,8KB,None,48 MHz,2,2,1,1x USB,60mm,30mm,30g
STM32F1 Discovery,STM32F103,3.3V,5V,7V,32,8,10,1,64KB,20KB,None,72 MHz,3,2,2,1x USB,70mm,30mm,40g
STM32F3 Discovery,STM32F303,3.3V,5V,7V,32,8,12,2,64KB,12KB,None,72 MHz,3,2,2,1x USB,80mm,40mm,45g
STM32F4 Discovery,STM32F407,3.3V,5V,7V,32,16,12,2,512KB,192KB,None,168 MHz,4,2,3,1x USB,100mm,50mm,55g
STM32F7 Discovery,STM32F746,3.3V,5V,7V,32,24,16,2,512KB,320KB,None,216 MHz,6,3,4,1x USB,100mm,50mm,60g
STM32H7 Discovery,STM32H743,3.3V,5V,7V,32,32,16,2,512KB,512KB,None,400 MHz,6,3,4,1x USB,120mm,60mm,70g
STM32L0 Discovery,STM32L051,3.3V,5V,7V,32,6,8,1,32KB,6KB,None,32 MHz,2,2,1,1x USB,60mm,30mm,30g
STM32L1 Discovery,STM32L151,3.3V,5V,7V,32,6,10,1,32KB,10KB,None,32 MHz,2,2,1,1x USB,60mm,30mm,30g
STM32L4 Discovery,STM32L476,3.3V,5V,7V,32,8,12,1,512KB,128KB,None,80 MHz,3,2,2,1x USB,70mm,40mm,35g
STM32G0 Discovery,STM32G071,3.3V,5V,7V,32,8,12,1,64KB,16KB,None,64 MHz,2,2,1,1x USB,70mm,40mm,35g
STM32G4 Discovery,STM32G431,3.3V,5V,7V,32,12,16,2,512KB,128KB,None,170 MHz,3,2,2,1x USB,80mm,40mm,40g
STM32WB Discovery,STM32WB55,3.3V,5V,7V,32,8,16,1,128KB,64KB,None,64 MHz,2,2,1,1x USB,80mm,40mm,45g
STM32F0xx Evaluation Board,STM32F070,3.3V,5V,7V,32,6,8,1,32KB,4KB,None,48 MHz,2,2,1,1x USB,70mm,30mm,30g
STM32F1xx Evaluation Board,STM32F103,3.3V,5V,7V,32,8,10,1,64KB,20KB,None,72 MHz,3,2,2,1x USB,70mm,30mm,40g
STM32F3xx Evaluation Board,STM32F303,3.3V,5V,7V,32,8,12,2,64KB,12KB,None,72 MHz,3,2,2,1x USB,80mm,40mm,45g
STM32F4xx Evaluation Board,STM32F407,3.3V,5V,7V,32,16,12,2,512KB,192KB,None,168 MHz,4,2,3,1x USB,100mm,50mm,55g
STM32F7xx Evaluation Board,STM32F746,3.3V,5V,7V,32,24,16,2,512KB,320KB,None,216 MHz,6,3,4,1x USB,100mm,50mm,60g
STM32H7xx Evaluation Board,STM32H743,3.3V,5V,7V,32,32,16,2,512KB,512KB,None,400 MHz,6,3,4,1x USB,120mm,60mm,70g
STM32L0xx Evaluation Board,STM32L051,3.3V,5V,7V,32,6,8,1,32KB,6KB,None,32 MHz,2,2,1,1x USB,60mm,30mm,30g
STM32L1xx Evaluation Board,STM32L151,3.3V,5V,7V,32,6,10,1,32KB,10KB,None,32 MHz,2,2,1,1x USB,60mm,30mm,30g
STM32L4xx Evaluation Board,STM32L476,3.3V,5V,7V,32,8,12,1,512KB,128KB,None,80 MHz,3,2,2,1x USB,70mm,40mm,35g
STM32G0xx Evaluation Board,STM32G071,3.3V,5V,7V,32,8,12,1,64KB,16KB,None,64 MHz,2,2,1,1x USB,70mm,40mm,35g
STM32G4xx Evaluation Board,STM32G431,3.3V,5V,7V,32,12,16,2,512KB,128KB,None,170 MHz,3,2,2,1x USB,80mm,40mm,40g
STM32WB Evaluation Board,STM32WB55,3.3V,5V,7V,32,8,16,1,128KB,64KB,None,64 MHz,2,2,1,1x USB,80mm,40mm,45g
STM32F103C8T6 ("Blue Pill"),STM32F103C8T6,3.3V,5V,7V,37,8,10,1,64KB,20KB,None,72 MHz,2,2,1,1x USB,50mm,20mm,10g
STM32F103C6T6,STM32F103C6T6,3.3V,5V,7V,37,8,10,1,32KB,10KB,None,72 MHz,2,2,1,1x USB,50mm,20mm,10g
STM32F401RE,STM32F401RE,3.3V,5V,7V,36,8,12,1,128KB,32KB,None,84 MHz,2,2,1,1x USB,70mm,40mm,25g
STM32F411RE,STM32F411RE,3.3V,5V,7V,36,8,12,1,512KB,128KB,None,100 MHz,2,2,1,1x USB,70mm,40mm,30g
STM32F746G-DISCO,STM32F746,3.3V,5V,7V,32,24,16,2,512KB,320KB,None,216 MHz,6,3,4,1x USB,102mm,53mm,55g
STM32H743I-EVAL,STM32H743,3.3V,5V,7V,32,32,16,2,512KB,512KB,None,400 MHz,6,3,4,1x USB,120mm,60mm,70g
STM32L4R5ZI-EVAL,STM32L4R5ZI,3.3V,5V,7V,32,8,12,1,512KB,128KB,None,80 MHz,3,2,2,1x USB,70mm,40mm,35g
STM32MP1,STM32MP157,3.3V,5V,7V,32,16,16,2,512KB,256KB,None,650 MHz,8,4,4,1x USB-C,100mm,60mm,80g
STM32F7xx Nucleo,STM32F746,3.3V,5V,7V,32,24,16,2,512KB,320KB,None,216 MHz,6,3,4,1x USB-C,68mm,53mm,50g
Olimex STM32 Boards,Various STM32,3.3V,5V,7V,Varies,Varies,Varies,Varies,Varies,Varies,Varies,None,Varies,Varies,Varies,Varies,Varies,Varies
STM32F103-based Boards,Various STM32F103,3.3V,5V,7V,Varies,Varies,Varies,Varies,Varies,Varies,Varies,None,Varies,Varies,Varies,Varies,Varies,Varies
